ticker,tier,beta,capm_pct,trading_cost_pct,liquidity_premium_low_bp,liquidity_premium_bp,liquidity_premium_high_bp,total_cost_of_equity_pct,assumed_risk_free,assumed_market_premium,assumed_k_bp_per_pct
MMM,sp500,0.858,8.49,1.609,32.0,129.0,322.0,9.78,0.042,0.05,80.0
AOS,sp500,0.9536,8.97,2.114,42.0,169.0,423.0,10.66,0.042,0.05,80.0
ABT,sp500,0.8488,8.44,1.708,34.0,137.0,342.0,9.81,0.042,0.05,80.0
ABBV,sp500,0.7295,7.85,2.121,42.0,170.0,424.0,9.54,0.042,0.05,80.0
ACN,sp500,1.0753,9.58,1.692,34.0,135.0,338.0,10.93,0.042,0.05,80.0
ADBE,sp500,1.2838,10.62,2.232,45.0,179.0,446.0,12.4,0.042,0.05,80.0
AMD,sp500,1.6712,12.56,4.157,83.0,333.0,831.0,15.88,0.042,0.05,80.0
AES,sp500,1.0424,9.41,2.471,49.0,198.0,494.0,11.39,0.042,0.05,80.0
AFL,sp500,0.9623,9.01,1.696,34.0,136.0,339.0,10.37,0.042,0.05,80.0
A,sp500,1.0724,9.56,2.004,40.0,160.0,401.0,11.17,0.042,0.05,80.0
APD,sp500,0.9313,8.86,1.723,34.0,138.0,345.0,10.23,0.042,0.05,80.0
ABNB,sp500,1.584,12.12,3.836,77.0,307.0,767.0,15.19,0.042,0.05,80.0
AKAM,sp500,0.9156,8.78,2.179,44.0,174.0,436.0,10.52,0.042,0.05,80.0
ALB,sp500,1.3319,10.86,2.979,60.0,238.0,596.0,13.24,0.042,0.05,80.0
ARE,sp500,0.8697,8.55,1.889,38.0,151.0,378.0,10.06,0.042,0.05,80.0
ALGN,sp500,1.5028,11.71,3.184,64.0,255.0,637.0,14.26,0.042,0.05,80.0
ALLE,sp500,1.0221,9.31,2.089,42.0,167.0,418.0,10.98,0.042,0.05,80.0
LNT,sp500,0.5644,7.02,1.685,34.0,135.0,337.0,8.37,0.042,0.05,80.0
ALL,sp500,0.8117,8.26,1.699,34.0,136.0,340.0,9.62,0.042,0.05,80.0
GOOGL,sp500,1.1433,9.92,1.93,39.0,154.0,386.0,11.46,0.042,0.05,80.0
GOOG,sp500,1.1411,9.91,1.908,38.0,153.0,382.0,11.43,0.042,0.05,80.0
MO,sp500,0.5762,7.08,1.637,33.0,131.0,328.0,8.39,0.042,0.05,80.0
AMZN,sp500,1.1775,10.09,2.291,46.0,183.0,458.0,11.92,0.042,0.05,80.0
AMCR,sp500,0.5858,7.13,0.954,19.0,76.0,191.0,7.89,0.042,0.05,80.0
AEE,sp500,0.5886,7.14,1.69,34.0,135.0,338.0,8.5,0.042,0.05,80.0
AEP,sp500,0.506,6.73,1.65,33.0,132.0,330.0,8.05,0.042,0.05,80.0
AXP,sp500,1.2096,10.25,1.848,37.0,148.0,370.0,11.73,0.042,0.05,80.0
AIG,sp500,1.221,10.3,2.136,43.0,171.0,427.0,12.01,0.042,0.05,80.0
AMT,sp500,0.7775,8.09,1.907,38.0,153.0,381.0,9.61,0.042,0.05,80.0
AWK,sp500,0.6288,7.34,1.757,35.0,141.0,351.0,8.75,0.042,0.05,80.0
AMP,sp500,1.5234,11.82,2.114,42.0,169.0,423.0,13.51,0.042,0.05,80.0
AME,sp500,1.0699,9.55,1.725,34.0,138.0,345.0,10.93,0.042,0.05,80.0
AMGN,sp500,0.8046,8.22,2.004,40.0,160.0,401.0,9.83,0.042,0.05,80.0
APH,sp500,1.1083,9.74,1.712,34.0,137.0,342.0,11.11,0.042,0.05,80.0
ADI,sp500,1.2735,10.57,2.151,43.0,172.0,430.0,12.29,0.042,0.05,80.0
AON,sp500,0.8111,8.26,1.654,33.0,132.0,331.0,9.58,0.042,0.05,80.0
APA,sp500,1.5457,11.93,3.577,72.0,286.0,715.0,14.79,0.042,0.05,80.0
APO,sp500,1.3368,10.88,2.939,59.0,235.0,588.0,13.24,0.042,0.05,80.0
AAPL,sp500,1.1736,10.07,1.976,40.0,158.0,395.0,11.65,0.042,0.05,80.0
AMAT,sp500,1.5792,12.1,2.695,54.0,216.0,539.0,14.25,0.042,0.05,80.0
APP,sp500,2.1523,14.96,5.459,109.0,437.0,1092.0,19.33,0.042,0.05,80.0
APTV,sp500,1.4276,11.34,2.59,52.0,207.0,518.0,13.41,0.042,0.05,80.0
ACGL,sp500,0.8612,8.51,1.832,37.0,147.0,366.0,9.97,0.042,0.05,80.0
ADM,sp500,0.845,8.43,1.918,38.0,153.0,384.0,9.96,0.042,0.05,80.0
ARES,sp500,1.135,9.88,2.894,58.0,232.0,579.0,12.19,0.042,0.05,80.0
ANET,sp500,1.2871,10.64,3.101,62.0,248.0,620.0,13.12,0.042,0.05,80.0
AJG,sp500,0.826,8.33,1.582,32.0,127.0,316.0,9.6,0.042,0.05,80.0
AIZ,sp500,0.8558,8.48,1.887,38.0,151.0,377.0,9.99,0.042,0.05,80.0
T,sp500,0.6282,7.34,1.562,31.0,125.0,312.0,8.59,0.042,0.05,80.0
