ticker,tier,days,beta,comovement_r2,own_volatility,reaction_delay,trading_range_pct,dollar_volume,size_rank
MMM,sp500,3266,0.858,0.3803,0.1807,0.0054,1.6087,335037814.0,44.0
AOS,sp500,3266,0.9536,0.3602,0.2096,0.0016,2.1135,51455239.0,204.0
ABT,sp500,3266,0.8488,0.3982,0.1721,0.004,1.7077,388112248.0,37.0
ABBV,sp500,3016,0.7295,0.2124,0.2354,0.0062,2.1207,517220358.0,25.0
ACN,sp500,3266,1.0753,0.556,0.1585,0.0006,1.6918,382071526.0,39.0
ADBE,sp500,3266,1.2838,0.4507,0.2337,0.0065,2.2316,769673380.0,16.0
AMD,sp500,3266,1.6712,0.2428,0.4867,0.0011,4.1569,2892639321.0,3.0
AES,sp500,3266,1.0424,0.2994,0.263,0.0122,2.4714,72093961.0,165.0
AFL,sp500,3266,0.9623,0.4275,0.1837,0.0041,1.6958,131122300.0,107.0
A,sp500,3266,1.0724,0.4563,0.1931,0.0018,2.0041,154182969.0,93.0
APD,sp500,3266,0.9313,0.4055,0.186,0.0024,1.7228,192105964.0,77.0
ABNB,sp500,1016,1.584,0.2836,0.4134,0.0095,3.8363,828814972.0,13.0
AKAM,sp500,3266,0.9156,0.2173,0.2866,0.0207,2.1792,136117210.0,105.0
ALB,sp500,3266,1.3319,0.2914,0.3426,0.0065,2.9791,153326920.0,94.0
ARE,sp500,3266,0.8697,0.3589,0.1917,0.0051,1.8887,69570123.0,169.0
ALGN,sp500,3266,1.5028,0.3035,0.3755,0.0088,3.1841,182788050.0,81.0
ALLE,sp500,2794,1.0221,0.4601,0.1897,0.0012,2.089,62552548.0,184.0
LNT,sp500,3266,0.5644,0.2175,0.1766,0.0164,1.6848,47200338.0,214.0
ALL,sp500,3266,0.8117,0.3501,0.1824,0.0052,1.699,159786116.0,91.0
GOOGL,sp500,3266,1.1433,0.4857,0.194,0.0007,1.9298,2466545811.0,4.0
GOOG,sp500,3266,1.1411,0.4833,0.1946,0.001,1.9079,2121539941.0,5.0
MO,sp500,3266,0.5762,0.2058,0.1867,0.0122,1.6375,235937685.0,60.0
AMZN,sp500,3266,1.1775,0.365,0.2562,0.0021,2.2906,5826571406.0,2.0
AMCR,sp500,3174,0.5858,0.1563,0.2262,0.0068,0.9544,30402813.0,268.0
AEE,sp500,3266,0.5886,0.218,0.1839,0.029,1.6903,75311795.0,160.0
AEP,sp500,3266,0.506,0.1798,0.1783,0.0251,1.6499,159846551.0,90.0
AXP,sp500,3266,1.2096,0.4949,0.2016,0.0016,1.8484,401464975.0,34.0
AIG,sp500,3266,1.221,0.427,0.2333,0.0009,2.1357,292216877.0,48.0
AMT,sp500,3266,0.7775,0.2864,0.2025,0.0089,1.9066,272076296.0,54.0
AWK,sp500,3266,0.6288,0.2353,0.1869,0.0199,1.7572,81340588.0,154.0
AMP,sp500,3266,1.5234,0.634,0.1909,0.002,2.1139,122739413.0,114.0
AME,sp500,3266,1.0699,0.5777,0.1509,0.0004,1.7247,94953807.0,129.0
AMGN,sp500,3266,0.8046,0.2948,0.2053,0.0088,2.0036,460435960.0,26.0
APH,sp500,3266,1.1083,0.5954,0.1507,0.0009,1.7123,128785361.0,108.0
ADI,sp500,3266,1.2735,0.5193,0.2021,0.0167,2.1506,288046205.0,50.0
AON,sp500,3266,0.8111,0.3826,0.17,0.0049,1.6543,195340166.0,73.0
APA,sp500,3266,1.5457,0.2198,0.4804,0.0079,3.5771,173395162.0,85.0
APO,sp500,3266,1.3368,0.3958,0.2724,0.0203,2.9392,86957489.0,147.0
AAPL,sp500,3266,1.1736,0.4746,0.2037,0.0012,1.9763,8140568024.0,1.0
AMAT,sp500,3266,1.5792,0.4865,0.2676,0.007,2.6953,519583800.0,24.0
APP,sp500,931,2.1523,0.2375,0.641,0.0076,5.4593,238738785.0,59.0
APTV,sp500,3266,1.4276,0.3973,0.29,0.0059,2.5898,160610759.0,89.0
ACGL,sp500,3266,0.8612,0.3402,0.1978,0.0132,1.8317,61290058.0,185.0
ADM,sp500,3266,0.845,0.292,0.217,0.0026,1.9176,138520882.0,102.0
ARES,sp500,2681,1.135,0.3396,0.2744,0.0107,2.8941,37603966.0,239.0
ANET,sp500,2657,1.2871,0.2659,0.3721,0.0045,3.1008,235928801.0,61.0
AJG,sp500,3266,0.826,0.4588,0.148,0.002,1.5819,89464512.0,139.0
AIZ,sp500,3266,0.8558,0.3106,0.2103,0.0125,1.8865,44521239.0,225.0
T,sp500,3266,0.6282,0.2402,0.1843,0.003,1.562,565159494.0,21.0
ATO,sp500,3266,0.5917,0.2329,0.1771,0.0122,1.6988,54012134.0,194.0
ADSK,sp500,3266,1.4135,0.4383,0.264,0.001,2.5986,246452073.0,57.0
ADP,sp500,3266,0.9903,0.5454,0.1491,0.0059,1.6292,231848572.0,63.0
AZO,sp500,3266,0.6937,0.2234,0.2134,0.0451,1.9717,262220560.0,55.0
AVY,sp500,3266,1.0196,0.4333,0.1923,0.0029,1.9295,58101838.0,189.0
AXON,sp500,3266,1.1888,0.1667,0.4384,0.0053,3.6565,65759619.0,178.0
BKR,sp500,3266,1.1647,0.2673,0.3181,0.0009,2.9535,145691564.0,98.0
BALL,sp500,3266,0.8375,0.287,0.2177,0.0058,1.9697,98573309.0,126.0
BAC,sp500,3266,1.2811,0.4793,0.2202,0.0008,2.1855,1388573979.0,8.0
BAX,sp500,3266,0.719,0.2516,0.2045,0.0053,1.7913,188899309.0,78.0
BDX,sp500,3266,0.6385,0.2634,0.1761,0.0028,1.6507,219116815.0,66.0
BRK-B,sp500,3266,0.8727,0.6263,0.1112,0.0018,1.3254,853855162.0,12.0
BBY,sp500,3266,1.1138,0.2161,0.3499,0.0107,2.8256,164939240.0,86.0
TECH,sp500,3266,0.9196,0.2891,0.2379,0.0027,2.4861,42101786.0,233.0
BIIB,sp500,3266,0.9371,0.1585,0.3561,0.0135,2.5605,408840869.0,33.0
BLK,sp500,3266,1.2568,0.6361,0.1568,0.0006,1.9281,280740166.0,52.0
BX,sp500,3266,1.411,0.4887,0.2381,0.0172,2.6919,195243827.0,74.0
XYZ,sp500,2289,1.927,0.3556,0.4643,0.0084,4.3949,899823257.0,10.0
BNY,sp500,3266,1.0725,0.4643,0.19,0.0042,1.9229,183349071.0,80.0
BA,sp500,3266,1.3467,0.3666,0.292,0.0026,2.377,1417348232.0,7.0
BKNG,sp500,3266,1.1578,0.3688,0.2498,0.0039,2.2427,780310564.0,15.0
BSX,sp500,3266,0.9716,0.362,0.2127,0.0032,2.1104,259589337.0,56.0
BMY,sp500,3266,0.6095,0.1749,0.2184,0.0055,1.8995,444270117.0,27.0
AVGO,sp500,3266,1.4118,0.4155,0.2762,0.0085,2.589,949426666.0,9.0
BR,sp500,3266,0.8745,0.4343,0.1646,0.0038,1.7319,56011830.0,193.0
BRO,sp500,3266,0.8452,0.4342,0.1592,0.0009,1.6558,47220367.0,213.0
BF-B,sp500,3266,0.7522,0.291,0.1937,0.0138,1.8401,52170287.0,200.0
BLDR,sp500,3266,1.6307,0.2803,0.4311,0.0123,3.9611,70963575.0,167.0
BG,sp500,3266,0.7621,0.1929,0.2572,0.0162,2.1833,77907167.0,159.0
BXP,sp500,3266,0.992,0.3355,0.2303,0.0058,2.1112,69882328.0,168.0
CHRW,sp500,3266,0.6696,0.1881,0.2294,0.0102,2.0107,93884567.0,132.0
CDNS,sp500,3266,1.2143,0.4526,0.2203,0.0053,2.3007,159382803.0,92.0
CPT,sp500,3266,0.7569,0.3021,0.1898,0.0122,1.8813,52948452.0,196.0
COF,sp500,3266,1.3761,0.4608,0.2455,0.0006,2.2606,242839741.0,58.0
CAH,sp500,3266,0.7864,0.2333,0.2351,0.0106,2.0337,136692587.0,104.0
CCL,sp500,3266,1.6549,0.292,0.4251,0.016,3.0234,344379241.0,43.0
CARR,sp500,1201,1.0854,0.2732,0.3161,0.0674,2.7804,214147435.0,68.0
CVNA,sp500,1928,2.3246,0.185,0.9159,0.0092,7.5679,290046119.0,49.0
CASY,sp500,3266,0.712,0.1967,0.2373,0.0179,2.1893,43599406.0,227.0
CAT,sp500,3266,1.0882,0.4071,0.2166,0.0016,2.1029,519688499.0,23.0
CBOE,sp500,3266,0.557,0.154,0.2153,0.0776,2.1062,67547427.0,173.0
CBRE,sp500,3266,1.2931,0.4576,0.2322,0.0075,2.3016,96352487.0,127.0
CDW,sp500,2894,1.1149,0.4481,0.2095,0.0034,2.2035,88337968.0,143.0
COR,sp500,3266,0.7038,0.2264,0.2146,0.0114,1.9954,140118331.0,99.0
CNC,sp500,3266,0.929,0.1847,0.3219,0.0137,2.6761,178566667.0,84.0
CNP,sp500,3266,0.8226,0.2982,0.2081,0.0139,1.8856,88722686.0,142.0
CF,sp500,3266,1.038,0.2015,0.3409,0.0053,3.1317,139601285.0,101.0
CRL,sp500,3266,1.1568,0.3577,0.2557,0.0093,2.47,65366677.0,180.0
SCHW,sp500,3266,1.2234,0.3848,0.2552,0.0057,2.4442,355994032.0,42.0
CHTR,sp500,3266,0.8515,0.2167,0.267,0.0012,2.4507,425832968.0,28.0
CVX,sp500,3266,1.0027,0.3678,0.2168,0.01,1.8535,711123091.0,18.0
CMG,sp500,3266,0.9179,0.1965,0.3062,0.002,2.3823,416366716.0,29.0
CB,sp500,3266,0.8237,0.3863,0.1712,0.0104,1.6314,222145760.0,65.0
CHD,sp500,3266,0.4513,0.1426,0.1825,0.0165,1.6369,88007963.0,144.0
CIEN,sp500,3266,1.2087,0.2383,0.3565,0.0067,2.8559,81447428.0,153.0
CI,sp500,3266,0.8785,0.2613,0.2437,0.0135,2.1663,301074303.0,46.0
CINF,sp500,3266,0.9636,0.3797,0.2032,0.0087,1.7955,45853848.0,223.0
CTAS,sp500,3266,1.0539,0.5087,0.1708,0.002,1.7309,108445274.0,121.0
CSCO,sp500,3266,0.9836,0.4339,0.1853,0.0015,1.7345,723710703.0,17.0
C,sp500,3266,1.3717,0.5115,0.2211,0.0012,2.1995,873098252.0,11.0
CFG,sp500,2581,1.3503,0.3981,0.2921,0.002,2.7252,133773299.0,106.0
CLX,sp500,3266,0.3523,0.0747,0.2046,0.0057,1.6649,128625972.0,109.0
CME,sp500,3266,0.7435,0.2766,0.1983,0.0123,1.8868,186865320.0,79.0
CMS,sp500,3266,0.5123,0.1857,0.1769,0.0323,1.6506,82992625.0,150.0
KO,sp500,3266,0.6042,0.3368,0.1399,0.0007,1.3197,555080754.0,22.0
CTSH,sp500,3266,1.0971,0.4062,0.2188,0.0001,1.9629,212168000.0,69.0
COHR,sp500,3266,1.4128,0.2559,0.3974,0.0034,3.4659,50215941.0,207.0
COIN,sp500,932,2.8047,0.2752,0.7562,0.0179,7.02,1469186595.0,6.0
CL,sp500,3266,0.5533,0.2583,0.1547,0.0233,1.4135,233391835.0,62.0
CMCSA,sp500,3266,0.8799,0.3681,0.1902,0.0057,1.9482,623608991.0,19.0
FIX,sp500,3266,1.2478,0.3043,0.3112,0.0004,2.797,20430684.0,308.0
COP,sp500,3266,1.1395,0.2901,0.294,0.004,2.4489,388679818.0,36.0
ED,sp500,3266,0.4221,0.1294,0.1805,0.0575,1.5869,114199065.0,119.0
STZ,sp500,3266,0.8002,0.2251,0.2449,0.0191,1.8977,202586022.0,70.0
CEG,sp500,738,1.026,0.1759,0.3891,0.034,3.3792,319213098.0,45.0
COO,sp500,3266,0.8883,0.3329,0.2074,0.0025,2.0752,87402219.0,146.0
CPRT,sp500,3266,1.0036,0.4199,0.1946,0.0017,2.0042,92263759.0,135.0
GLW,sp500,3266,1.1758,0.4646,0.2082,0.0011,2.0199,146437426.0,97.0
CPAY,sp500,3266,1.1419,0.3904,0.2353,0.0061,2.3036,126729507.0,110.0
CTVA,sp500,1407,0.9234,0.2989,0.2876,0.0096,2.6135,163241423.0,88.0
CSGP,sp500,3266,1.0719,0.3338,0.2498,0.0015,2.549,103260452.0,124.0
COST,sp500,3266,0.7307,0.353,0.1632,0.0015,1.5698,607071506.0,20.0
