ticker,tier,year,days,beta,comovement_r2,own_volatility,reaction_delay,trading_range_pct,dollar_volume
MMM,sp500,2012,246,0.9094,0.658,0.0835,0.0127,1.2421,168745276.0
MMM,sp500,2013,249,0.9065,0.5234,0.094,0.0174,1.1115,201089163.0
MMM,sp500,2014,249,1.0474,0.6115,0.0941,0.0176,1.1949,243802429.0
MMM,sp500,2015,249,0.8798,0.5385,0.1255,0.0627,1.3444,267222636.0
MMM,sp500,2016,249,0.7776,0.491,0.103,0.0553,1.1341,245539808.0
MMM,sp500,2017,248,0.6896,0.1337,0.1181,0.0312,0.9979,279845165.0
MMM,sp500,2018,248,1.1205,0.6315,0.1468,0.0191,1.9008,413117740.0
MMM,sp500,2019,249,1.1602,0.3056,0.2085,0.0212,1.6479,378851618.0
MMM,sp500,2020,250,0.8378,0.5682,0.2471,0.0079,2.4837,419302264.0
MMM,sp500,2021,249,0.4789,0.112,0.1749,0.0332,1.5606,375204233.0
MMM,sp500,2022,248,0.691,0.3725,0.2182,0.0439,2.2593,561120084.0
MMM,sp500,2023,247,1.1768,0.3211,0.2234,0.0322,2.0323,337709626.0
MMM,sp500,2024,249,0.6952,0.0738,0.3104,0.1607,1.9852,463870532.0
AOS,sp500,2012,246,1.2808,0.4343,0.1861,0.0038,2.3047,17570836.0
AOS,sp500,2013,249,1.2934,0.3952,0.1738,0.0135,1.9028,25021810.0
AOS,sp500,2014,249,1.1022,0.3577,0.1665,0.0146,1.7383,24112932.0
AOS,sp500,2015,249,1.1056,0.4314,0.1955,0.0116,2.0839,37271640.0
AOS,sp500,2016,249,1.3858,0.5354,0.1679,0.0065,2.0463,48336709.0
AOS,sp500,2017,248,1.3881,0.3542,0.1261,0.003,1.416,45579160.0
AOS,sp500,2018,248,1.0199,0.4489,0.1938,0.0096,2.2663,69982072.0
AOS,sp500,2019,249,1.0579,0.2514,0.2176,0.011,2.0758,68688765.0
AOS,sp500,2020,250,0.7123,0.3961,0.2975,0.0021,2.9334,62247432.0
AOS,sp500,2021,249,1.099,0.2678,0.2356,0.012,2.1592,64902385.0
AOS,sp500,2022,248,0.9221,0.514,0.2181,0.0126,2.5999,61701791.0
AOS,sp500,2023,247,1.0396,0.2472,0.2369,0.0207,2.0476,67695847.0
AOS,sp500,2024,249,0.7617,0.1617,0.2186,0.094,1.8717,75447261.0
ABT,sp500,2012,246,0.5867,0.2775,0.1205,0.0014,1.2159,330912850.0
ABT,sp500,2013,249,1.0259,0.3409,0.1549,0.0793,1.495,216816051.0
ABT,sp500,2014,249,0.9089,0.4427,0.115,0.0035,1.4703,191655879.0
